FiscalYear,School Entity ID,SchoolName,subject_norm,Number Tested,Percent Passing
2022,6348,,ELA,*,16
2022,6348,,Math,*,12
2022,1001427,,ELA,*,41
2022,1001427,,Math,*,24
2022,90769,,ELA,230,57
2022,90769,,Math,239,54
2022,92885,,ELA,203,49
2022,92885,,Math,206,37
2022,509281,,ELA,236,58
2022,509281,,Math,242,47
2022,1001506,,ELA,*,54
2022,1001506,,Math,*,39
2022,81178,,ELA,548,38
2022,81178,,Math,562,20
2022,90635,,ELA,*,66
2022,90635,,Math,*,80
2022,89487,,ELA,*,82
2022,89487,,Math,*,84
2022,156568,,ELA,*,48
2022,156568,,Math,*,37
2022,1001738,,ELA,*,50
2022,1001738,,Math,*,33
2022,6344,,ELA,*,69
2022,6344,,Math,*,61
2022,5503,,ELA,*,28
2022,5503,,Math,*,13
2022,90780,,ELA,*,61
2022,90780,,Math,*,42
2022,92984,,ELA,*,*
2022,92984,,Math,*,8
2022,1001693,,ELA,*,*
2022,1001693,,Math,*,*
2022,5520,,ELA,*,*
2022,5520,,Math,*,*
2022,81179,,ELA,178,43
2022,81179,,Math,179,29
2022,91246,,ELA,*,29
2022,91246,,Math,*,15
2022,5519,,ELA,*,84
2022,5519,,Math,74,55
2022,6395,,ELA,*,10
2022,6395,,Math,*,6
2022,80006,,ELA,*,11
2022,80006,,Math,*,5
2022,81079,,ELA,*,*
2022,81079,,Math,*,*
2022,90509,,ELA,*,*
2022,90509,,Math,*,98
2022,91055,,ELA,*,*
2022,91055,,Math,*,98
2022,91056,,ELA,*,98
2022,91056,,Math,*,*
2022,91343,,ELA,*,*
2022,91343,,Math,*,*
2022,92030,,ELA,*,*
2022,92030,,Math,*,*
2022,91997,,ELA,*,97
2022,91997,,Math,*,97
2022,92735,,ELA,*,95
2022,92735,,Math,*,77
2022,92270,,ELA,*,77
2022,92270,,Math,*,73
2022,81042,,ELA,*,8
2022,81042,,Math,*,*
2022,81182,,ELA,*,32
2022,81182,,Math,*,16
2022,5424,,ELA,*,12
2022,5424,,Math,*,14
2022,79376,,ELA,*,35
2022,79376,,Math,*,37
2022,89573,,ELA,*,23
2022,89573,,Math,*,24
2022,91826,,ELA,*,9
2022,91826,,Math,*,9
2022,88289,,ELA,*,27
2022,88289,,Math,*,14
2022,5466,,ELA,*,10
2022,5466,,Math,*,5
2022,79129,,ELA,*,*
2022,79129,,Math,*,*
2022,80025,,ELA,*,*
2022,80025,,Math,*,*
2022,80430,,Math,*,*
2022,85750,,ELA,*,40
2022,85750,,Math,*,20
2022,5137,,ELA,*,66
2022,5137,,Math,*,59
2022,1001171,,ELA,*,33
2022,1001171,,Math,*,22
2022,88300,,ELA,*,86
2022,88300,,Math,*,89
2022,5127,,ELA,*,30
2022,5127,,Math,*,28
2022,6015,,ELA,*,60
2022,6015,,Math,*,57
2022,79633,,ELA,553,61
2022,79633,,Math,555,60
2022,89591,,ELA,*,86
2022,89591,,Math,*,86
2022,89613,,ELA,*,65
2022,89613,,Math,*,61
2022,91282,,ELA,179,65
2022,91282,,Math,183,56
2022,92892,,ELA,498,57
2022,92892,,Math,509,54
2022,92636,,ELA,*,53
2022,92636,,Math,*,34
2022,10801,,ELA,*,14
2022,10801,,Math,*,21
2022,92637,,ELA,*,6
2022,92637,,Math,*,6
2022,92317,,ELA,*,79
2022,92317,,Math,*,59
2022,79099,,ELA,*,3
2022,79099,,Math,*,*
2022,79102,,ELA,*,53
2022,79102,,Math,*,27
2022,89918,,ELA,*,55
2022,89918,,Math,*,36
2022,79506,,ELA,*,20
2022,79506,,Math,*,20
2022,5161,,ELA,*,33
2022,5161,,Math,*,36
2022,5162,,ELA,*,36
2022,5162,,Math,*,23
2022,5163,,ELA,*,61
2022,5163,,Math,*,57
2022,79414,,ELA,*,46
2022,79414,,Math,*,22
2022,80317,,ELA,*,53
2022,80317,,Math,*,48
2022,85850,,ELA,*,55
2022,85850,,Math,*,46
2022,92525,,ELA,*,*
2022,92525,,Math,*,*
2022,78950,,ELA,*,43
2022,78950,,Math,*,12
2022,5133,,ELA,*,30
2022,5133,,Math,*,33
2022,81113,,ELA,413,52
2022,81113,,Math,422,45
2022,88417,,ELA,*,39
2022,88417,,Math,*,32
2022,90134,,ELA,*,44
2022,90134,,Math,*,39
2022,90875,,ELA,363,49
2022,90875,,Math,365,37
2022,79117,,ELA,*,13
2022,79117,,Math,*,6
2022,81143,,ELA,*,*
2022,81143,,Math,*,7
2022,90075,,ELA,*,*
2022,90075,,Math,*,*
2022,90389,,ELA,*,*
2022,90389,,Math,*,33
2022,90768,,ELA,*,10
2022,90768,,Math,*,*
2022,90815,,ELA,*,16
2022,90815,,Math,*,11
2022,91199,,ELA,*,*
2022,91199,,Math,*,*
2022,79982,,ELA,*,66
2022,79982,,Math,*,42
2022,10849,,ELA,*,10
2022,10849,,Math,*,4
2022,5500,,ELA,93,50
2022,5500,,Math,93,34
2022,90377,,ELA,*,11
2022,90377,,Math,*,14
2022,79219,,ELA,*,*
2022,79219,,Math,*,*
2022,920316,,ELA,*,*
2022,920316,,Math,*,*
2022,90324,,ELA,*,56
2022,90324,,Math,*,34
2022,90202,,ELA,*,*
2022,90202,,Math,*,*
2022,90844,,ELA,*,10
2022,90844,,Math,*,8
2022,92975,,ELA,*,26
2022,92975,,Math,*,25
2022,5507,,ELA,*,10
2022,5507,,Math,*,5
2022,181823,,ELA,*,38
2022,181823,,Math,*,41
2022,5167,,ELA,*,39
2022,5167,,Math,*,39
2022,90932,,ELA,*,22
2022,90932,,Math,*,*
2022,1000980,,ELA,*,20
2022,1000980,,Math,*,*
2022,79022,,ELA,*,6
2022,79022,,Math,*,4
2022,90737,,ELA,*,18
2022,90737,,Math,*,10
2022,5504,,ELA,*,*
2022,5504,,Math,*,*
2022,5019,,ELA,*,4
2022,5019,,Math,*,7
2022,5039,,ELA,514,53
2022,5039,,Math,522,45
2022,5040,,ELA,751,61
2022,5040,,Math,760,55
2022,6007,,ELA,325,37
2022,6007,,Math,333,28
2022,79823,,ELA,521,50
2022,79823,,Math,525,39
2022,89606,,ELA,*,96
2022,89606,,Math,*,93
2022,90124,,ELA,481,64
2022,90124,,Math,485,55
2022,91209,,ELA,*,44
2022,91209,,Math,143,33
2022,89830,,ELA,*,90
2022,89830,,Math,*,90
2022,5426,,ELA,*,28
2022,5426,,Math,*,21
2022,5427,,ELA,*,55
2022,5427,,Math,*,54
2022,5428,,ELA,*,29
2022,5428,,Math,*,32
2022,5429,,ELA,*,24
2022,5429,,Math,*,21
2022,5430,,ELA,*,40
2022,5430,,Math,*,38
2022,5431,,ELA,*,37
2022,5431,,Math,*,35
2022,5432,,ELA,*,47
2022,5432,,Math,*,47
2022,5433,,ELA,*,41
2022,5433,,Math,*,37
2022,5434,,ELA,*,35
2022,5434,,Math,*,28
2022,5435,,ELA,*,9
2022,5435,,Math,*,6
2022,794564,,ELA,*,20
